,Sentiment_score,Emotion,Episode,Season
rachel,0.9313,Fear,episode 01,Season-01
rachel,0.8375,Surprise,episode 02,Season-01
rachel,0.886,Surprise,episode 03,Season-01
rachel,0.958,Sad,episode 04,Season-01
rachel,0.0516,Fear,episode 05,Season-01
rachel,0.2732,Surprise,episode 06,Season-01
rachel,0.91,Fear,episode 07,Season-01
rachel,0,Surprise,episode 08,Season-01
rachel,0.6808,Surprise,episode 09,Season-01
rachel,-0.0772,Surprise,episode 10,Season-01
rachel,0.9155,Surprise,episode 11,Season-01
rachel,0.8957,Surprise,episode 12,Season-01
rachel,0.85,Fear,episode 13,Season-01
rachel,0.8271,Surprise,episode 14,Season-01
rachel,0.1531,Sad,episode 15,Season-01
rachel,0.6486,Fear,episode 16,Season-01
rachel,0.968,Happy,episode 17,Season-01
rachel,-0.4615,Fear,episode 18,Season-01
rachel,0.9917,Fear,episode 19,Season-01
rachel,0.9604,Fear,episode 20,Season-01
rachel,0.1531,Surprise,episode 21,Season-01
rachel,0.802,Surprise,episode 22,Season-01
rachel,0.9657,Surprise,episode 23,Season-01
rachel,0.9288,Sad,episode 24,Season-01
rachel,0.7506,Surprise,episode 01,Season-02
rachel,0.8834,Surprise,episode 02,Season-02
rachel,0.7269,Surprise,episode 03,Season-02
rachel,0.9761,Surprise,episode 04,Season-02
rachel,0.2023,Sad,episode 05,Season-02
rachel,0.8834,Surprise,episode 06,Season-02
rachel,0.8873,Surprise,episode 07,Season-02
rachel,0.8402,Surprise,episode 08,Season-02
rachel,0.0772,Surprise,episode 09,Season-02
rachel,-0.7115,Sad,episode 10,Season-02
rachel,0.4019,Surprise,episode 11,Season-02
rachel,0.91,Fear,episode 12,Season-02
rachel,0.8481,Surprise,episode 14,Season-02
rachel,0.8764,Surprise,episode 15,Season-02
rachel,0.7783,Surprise,episode 16,Season-02
rachel,0.6478,Surprise,episode 17,Season-02
rachel,0.9786,Surprise,episode 18,Season-02
rachel,0.8658,Surprise,episode 19,Season-02
rachel,0.9607,Surprise,episode 20,Season-02
rachel,0.4215,Surprise,episode 21,Season-02
rachel,0.9816,Surprise,episode 22,Season-02
rachel,0.8807,Surprise,episode 23,Season-02
rachel,0.7717,Surprise,episode 24,Season-02
rachel,0.2263,Surprise,episode 01,Season-03
rachel,0.8271,Surprise,episode 02,Season-03
rachel,0.3057,Fear,episode 03,Season-03
rachel,0.296,Sad,episode 04,Season-03
rachel,0.7717,Fear,episode 05,Season-03
