,Sentiment_score,Emotion,Episode,Season
rachel,0.9313,Fear,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01
rachel,0.8375,Surprise,Episode-02-The One With the Sonogram at the End,Season-01
rachel,0.886,Surprise,Episode-03-The One With the Thumb,Season-01
rachel,0.958,Sad,Episode-04-The One With George Stephanopoulos,Season-01
rachel,0.0516,Fear,Episode-05-The One With the East German Laundry Detergent,Season-01
rachel,0.2732,Surprise,Episode-06-The One With the Butt,Season-01
rachel,0.91,Fear,Episode-07-The One With the Blackout,Season-01
rachel,0.0,Surprise,Episode-08-The One Where Nana Dies Twice,Season-01
rachel,0.6808,Surprise,Episode-09-The One where Underdog Gets Away,Season-01
rachel,-0.0772,Surprise,Episode-10-The One With the Monkey,Season-01
rachel,0.9155,Surprise,Episode-11-The One With Mrs. Bing,Season-01
rachel,0.8957,Surprise,Episode-12-The One With the Dozen Lasagnas,Season-01
rachel,0.85,Fear,Episode-13-The One With the Boobies,Season-01
rachel,0.8271,Surprise,Episode-14-The One With the Candy Hearts,Season-01
rachel,0.1531,Sad,Episode-15-The One With the Stoned Guy,Season-01
rachel,0.6486,Fear,"Episode-16-The One With Two Parts, Part 1",Season-01
rachel,0.968,Happy,"Episode-17-The One With Two Parts, Part 2",Season-01
rachel,-0.4615,Fear,Episode-18-The One With All The Poker,Season-01
rachel,0.9917,Fear,Episode-19-The One Where the Monkey Gets Away,Season-01
rachel,0.9604,Fear,Episode-20-The One With the Evil Orthodontist,Season-01
rachel,0.1531,Surprise,Episode-21-The One With The Fake Monica,Season-01
rachel,0.802,Surprise,Episode-22-The One With the Ick Factor,Season-01
rachel,0.9657,Surprise,Episode-23-The One With the Birth,Season-01
rachel,0.9288,Sad,Episode-24-The One Where Rachel Finds Out,Season-01
rachel,0.7506,Surprise,Episode-01-The One With Ross' New Girlfriend,Season-02
rachel,0.8834,Surprise,Episode-02-The One With the Breast Milk,Season-02
rachel,0.7269,Surprise,Episode-03-The One Where Mr. Heckles Dies,Season-02
rachel,0.9761,Surprise,Episode-04-The One With Phoebe's Husband,Season-02
rachel,0.2023,Sad,Episode-05-The One With Five Steaks and an Eggplant,Season-02
rachel,0.8834,Surprise,Episode-06-The One With the Baby on the Bus,Season-02
rachel,0.8873,Surprise,Episode-07-The One Where Ross Finds Out,Season-02
rachel,0.8402,Surprise,Episode-08-The One With the List,Season-02
rachel,0.0772,Surprise,Episode-09-The One With Phoebe's Dad,Season-02
rachel,-0.7115,Sad,Episode-10-The One With Russ,Season-02
rachel,0.4019,Surprise,Episode-11-The One With the Lesbian Wedding,Season-02
rachel,0.91,Fear,Episode-12-02x13 - The One After the Superbowl,Season-02
rachel,0.8481,Surprise,Episode-14-The One With the Prom Video,Season-02
rachel,0.8764,Surprise,Episode-15-The One Where Rachel and Ross... You Know,Season-02
rachel,0.7783,Surprise,Episode-16-The One Where Joey Moves Out,Season-02
rachel,0.6478,Surprise,Episode-17-The One Where Eddie Moves In,Season-02
rachel,0.9786,Surprise,Episode-18-The One Where Dr. Remore Dies,Season-02
rachel,0.8658,Surprise,Episode-19-The One Where Eddie Won't Go,Season-02
rachel,0.9607,Surprise,Episode-20-The One Where Old Yeller Dies,Season-02
rachel,0.4215,Surprise,Episode-21-The One With the Two Bullies,Season-02
rachel,0.9816,Surprise,Episode-22-The One With the Two Parties,Season-02
rachel,0.8807,Surprise,Episode-23-The One With the Chicken Pox,Season-02
rachel,0.7717,Surprise,Episode-24-The One With Barry and Mindy's Wedding,Season-02
rachel,0.2263,Surprise,Episode-01-The One With the Princess Leia Fantasy,Season-03
rachel,0.8271,Surprise,Episode-02-The One Where No-one's Ready,Season-03
